article_id,permatitle,published_date
3cc9a364-b710-4e64-bb2c-f318436d6cb0,editorial-a-fresh-step-towards-greater-accountability-20210919,2021-09-18
424eb881-5027-4e16-9d19-b996a4b0f929,husband-dozens-of-others-jailed-for-serial-rapes-of-frenchwoman-20210929,2021-09-29
62de5d50-3242-4475-ad28-04e0785f60f6,boris-johnson-rehires-minister-who-repeatedly-broke-ministerial-code-2021-9,2021-09-23
8ad3aedd-e8cd-430d-8112-6eebe765b3b8,best-friends-collide-in-mid-air-parachute-crash-in-mpumalanga-with-devastating-results-20210923-2,2021-09-23
8b4adcba-a4e4-42b6-a328-c2ac91129e3d,serjeant-at-the-bar-unravelling-of-the-constitutional-court-and-its-forays-outside-the-law-20210923,2021-09-24
b265d9e8-bcc4-46e0-a28b-08cb156f25cf,paris-set-citywide-speed-limit-reduce-pollution-improve-safety-2021-8,2021-09-01
c7de6150-9330-4add-a0fc-4709094577d7,eff-off-to-fiery-start-in-race-to-poll-rescue-20210918,2021-09-18
d5d8bd9d-b81d-456d-b60e-8ab2a9b8c4f2,covid-19-educate-people-before-introducing-a-vaccine-mandate-experts-20210916,2021-09-16
ecfa50e7-bc4a-447f-b057-e9ae799fc152,mark-zuckerberg-approved-facebook-project-amplify-positive-stories-news-feed-2021-9,2021-09-22
ed2ffe2c-2318-4844-ac6e-44a570725297,sponsored-the-power-of-the-pancreas-20210831,2021-08-31
082f210f-b109-4d0e-8a16-b7c31ff89247,i-want-to-improve-the-lives-of-the-working-class-meet-ancs-youngest-elections-candidate-20210923,2021-09-23
1f6ef710-5293-459b-a60f-c8d19b7533ad,kwazulu-natal-health-dept-promises-unemployed-mom-of-triplets-a-new-home-20210903,2021-09-03
20bc5b06-6a64-4c22-a3df-e5b44c6fc600,presidency-evasive-on-new-chief-justice-khusela-dikos-redeployment-and-zuma-parole-20210914,2021-09-14
2c198700-4308-4d99-ba45-74d44956e5dc,massive-numbers-of-new-covid-infections-not-vaccines-are-main-driver-of-new-coronavirus-variants-20210916,2021-09-16
3947fe29-5dcb-4a21-a64b-05b89a1fa8ce,angelina-jolie-returns-to-her-activism-roots-with-new-book-inspired-by-her-own-kids-20210917,2021-09-17
3ee08fb5-8791-4554-a8b6-2ec112780455,aspen-ready-to-roll-out-225-million-jj-vaccines-a-year-20210902,2021-09-02
40507f99-a208-4591-bf13-79340ff31ea6,many-didnt-make-it-haitian-migrants-traumatic-journey-to-panama-20210901,2021-09-01
4635f6cb-05ee-4e6e-88d5-dad9df865abc,howard-feldman-zumas-approach-to-african-court-it-is-just-more-shenanigans-20210922,2021-09-22
62fde5b7-9640-460b-a147-3017c28cb5a7,afghan-women-outraged-by-new-taliban-restrictions-on-work-20210920-2,2021-09-20
8b26639b-f2d9-4999-9b11-27df6d1e5ccd,local-govt-elections-anc-withdraws-application-to-electoral-court-hours-after-submitting-papers-20210831,2021-08-31
a4e603eb-a2de-4479-bbd2-2c7007acf437,lava-shoots-up-from-volcano-on-la-palma-in-spanish-canary-islands-20210919,2021-09-19
c773aeba-d0ef-4993-b9eb-986fab023ef4,all-new-vw-caddy-headed-for-sa-heres-what-you-should-know-ahead-of-its-november-launch-20210921-2,2021-09-21
d51c2fa1-6418-40a9-a5f6-f2c12d1cfa22,kwazulu-natal-hitman-arrested-for-taxi-boss-murder-20210927,2021-09-27
e3d6500c-a64c-4bc0-98fd-f7982648c283,eastern-cape-municipal-graveyard-sewage-spill-destroyed-r56-000-casket-forced-reburial-20210904,2021-09-04
e7bacd0d-f5a3-4a61-bed4-9eff82ea103c,russias-vladimir-putin-self-isolates-after-covid-19-found-in-entourage-20210914,2021-09-14
f1a4e093-8173-44cf-9344-c2592810c553,losing-power-bidder-seeks-to-postpone-court-case-to-await-hawks-findings-into-bidding-process-20210901,2021-09-01
f2c921f1-747b-4ce6-8f00-f94ac52566f4,ralph-mathekga-elections-2021-next-time-leave-the-constitutional-court-out-of-a-political-storm-20210921,2021-09-21
0c563c86-2550-4657-97a6-362793bfce3d,elections-2021-iec-welcomes-concourt-judgment-credits-new-portal-for-smooth-registration-weekend-20210920,2021-09-20
11e90287-29dc-4d6c-9049-88e8d24518ab,climate-change-will-bring-longer-and-drier-dry-seasons-in-sa-new-study-says-2021-9,2021-09-08
19f594bf-5ee7-4296-8ab4-1b830beae242,david-mabuza-paid-own-costs-for-russian-medical-treatment-20210910,2021-09-10
