cluster_id,top_keywords,earliest_published,latest_published,article_count
9135,"killed, western cape, transport, cape town, taxi, safety, project, records",2021-09-07T12:28:19.280Z,2021-09-11T17:11:54.640Z,5
9473,"ben affleck, jennifer lopez, photos, jennifer, lopez, red carpet, carpet, debut",2021-09-11T06:43:16.787Z,2021-09-14T09:49:58.270Z,2
9432,"car accident, skolopad, reflects, living, mild, amnesia, it, embarrassing",2021-09-10T10:48:08.087Z,2021-09-10T10:48:08.087Z,1
9258,"man, united, return, real madrid, pogba, mbappe, lead, fourman",2021-09-08T12:25:18.160Z,2021-09-11T22:11:19.987Z,5
9145,"antivaxxers, insurance, pressure, ceo, customers, sanlam, climate change, fuelling",2021-09-07T13:00:06.780Z,2021-09-12T10:00:06.527Z,9
9241,"pirates, sundowns, chiefs, swallows, clash, fallout, coaching, squabbles",2021-09-08T09:21:19.340Z,2021-09-12T19:32:22.320Z,10
9054,"sa, gdp, quarter, expected, economy, business, govt, analysts",2021-09-06T15:46:56.020Z,2021-09-11T11:39:05.120Z,11
9389,"howick, man, drowns, canoeing, midmar, dam, kwazulunatal",2021-09-10T04:01:56.777Z,2021-09-10T04:01:56.777Z,1
30,"covid19, vaccine, vaccines, sa, us, million, astrazeneca, jj",2021-03-01T05:00:06.883Z,2021-08-28T04:17:21.457Z,611
9019,"pupils, pietermaritzburg, set, fire, school, kzn, left, watch",2021-09-06T11:46:48.213Z,2021-09-10T11:59:23.460Z,7
9141,"abba, uk, upcoming, album, sets, preorder, record, scores",2021-09-07T12:54:05.010Z,2021-09-11T07:16:53.063Z,2
9368,"saps, welcomes, new, operatives, special, task, force",2021-09-09T15:38:34.003Z,2021-09-09T15:38:34.003Z,1
9053,"hlophe, minority, decision, proves, broken, jsc, john hlophe, it",2021-09-06T15:37:29.600Z,2021-09-10T12:31:25.573Z,2
8559,"sponsored, power, pancreas",2021-08-31T13:48:41.903Z,2021-08-31T13:48:41.903Z,1
9442,"us, federal, judge, rules, florida, antiriot, law",2021-09-10T12:15:38.847Z,2021-09-10T12:15:38.847Z,1
8931,"zulu king, emotional, reed, dance, new",2021-09-06T04:36:20.063Z,2021-09-06T04:36:20.063Z,1
8892,"want, dead, activist, forced, hiding",2021-09-04T22:02:07.390Z,2021-09-04T22:02:07.390Z,1
9288,"look, inside, gulfstream, new, billion, private, plane, g700",2021-09-08T19:27:22.707Z,2021-09-08T19:27:22.707Z,1
2046,"feel good, grateful, potch, old, boys, buy, uncle, solly",2021-04-03T07:55:27.937Z,2021-04-03T07:55:27.937Z,1
159,"daily lotto, jackpot, players, powerball, player, lucky, bag, day",2021-03-01T19:35:16.040Z,2021-09-05T19:37:09.127Z,151
9453,"cleaned, big, ben, london, iconic, clock, blue",2021-09-10T14:25:32.010Z,2021-09-10T14:25:32.010Z,1
9212,"sa, grow, drier, longer, new, climatechange, study, bit",2021-09-08T04:36:04.530Z,2021-09-08T04:36:04.530Z,1
9488,"rugby championship, live, wallabies, v, springboks",2021-09-11T21:36:36.560Z,2021-09-11T21:36:36.560Z,1
128,"sa, opinion, new, economy, energy, africa, african, govt",2021-03-01T15:03:25.140Z,2021-08-28T22:33:35.563Z,227
9246,"twitter, testing, new, feature, lets, remove, followers, block",2021-09-08T10:55:52.353Z,2021-09-08T10:55:52.353Z,1
8430,"driven, sa, manual, want, need, know, lexus, lc500",2021-08-30T11:30:19.893Z,2021-09-04T22:04:14.263Z,9
8574,"woman, went, tonga, weekend, right, pandemic, hit, stuck",2021-08-31T16:19:49.527Z,2021-08-31T16:19:49.527Z,1
3569,"aka, anele tembe, performance, death, anele, scheduled, fiancée, nedbank cup",2021-05-06T08:11:57.393Z,2021-05-20T06:07:54.370Z,8
9393,"kzn, cogta, mec, wary, nepotism, uthukela, water, board",2021-09-10T04:13:36.717Z,2021-09-10T04:13:36.717Z,1
9382,"look, hands, 72yearold, grandfather, poledancing, sensation",2021-09-09T19:16:12.747Z,2021-09-09T19:16:12.747Z,1
995,"covid19, western cape, gauteng, third wave, vaccination, health, cases, vaccine",2021-03-12T16:38:01.700Z,2021-08-28T04:18:08.293Z,357
9410,"matric exam, download, past, papers, free",2021-09-10T08:15:13.450Z,2021-09-10T08:15:13.450Z,1
9416,"makoti, unveiled, welcome, family",2021-09-10T08:50:57.893Z,2021-09-10T08:50:57.893Z,1
7754,"plettenberg bay airport, flights, cancelled, municipality, cemair, blame, closure, commercial",2021-08-12T10:46:20.407Z,2021-08-12T12:35:16.020Z,2
7916,"vaccine sites, private, walkins, list",2021-08-16T17:43:22.453Z,2021-08-16T17:43:22.453Z,1
7951,"aka, show, far, battle, sabc, braai, know, legal",2021-08-17T11:49:20.533Z,2021-08-28T22:14:32.343Z,4
9348,"t20 world cup, recap, proteas, squad, announcement",2021-09-09T12:26:02.740Z,2021-09-09T12:26:02.740Z,1
9294,"rabies, drive, kouga, roaring, success, outbreak, claims, life",2021-09-09T04:05:43.847Z,2021-09-11T18:00:46.917Z,2
8894,"controversial pastor, bushiri, life, brought, tv",2021-09-04T22:04:05.147Z,2021-09-04T22:04:05.147Z,1
8412,"laundry, day, breeze, samsung, omo",2021-08-30T09:44:18.363Z,2021-08-30T09:44:18.363Z,1
9323,"lana del rey, shares, blue, release, date, drops, new, single",2021-09-09T08:34:25.170Z,2021-09-09T08:34:25.170Z,1
8753,"kaley cuoco, days, truly, frightening",2021-09-02T10:02:43.357Z,2021-09-02T10:02:43.357Z,1
4115,"eskom, econ oil, race, de, ruyter, econ, oil, tender",2021-05-18T15:13:18.193Z,2021-06-23T07:48:40.470Z,26
9634,"mom, know, son, watch, life, living, opens, birth",2021-09-13T14:15:13.603Z,2021-09-18T04:17:29.410Z,20
10149,"fought, shark, hell, family, hopeful, paralympian, defy, odds",2021-09-20T05:59:54.253Z,2021-09-20T05:59:54.253Z,1
10103,"bride, groom, refuse, let, photographer, break, eat, deletes",2021-09-19T16:16:56.513Z,2021-09-19T16:16:56.513Z,1
9598,"new, star, famous, like, gets, fall, look, boo",2021-09-13T10:11:21.437Z,2021-09-19T10:39:36.957Z,17
10249,"ipl, win, delhi, bangalore, help, thrash, hyderabad, faf",2021-09-20T17:31:18.063Z,2021-10-03T14:51:37.737Z,29
9833,"suspended, high, risk, cfo, fights, mangaung, electricity, distributor",2021-09-15T10:50:21.290Z,2021-09-18T23:01:44.603Z,6
9639,"cricket, pakistan, india, ipl, new zealand, tour, players, test",2021-09-13T15:37:40.630Z,2021-09-19T18:42:28.137Z,11
9552,"covid19, sa, students, young, people, cant, find, cities",2021-09-13T05:26:59.540Z,2021-09-19T16:49:40.393Z,61
9616,"zuma, concourt, court, medical parole, dear, mr, president, case",2021-09-13T12:36:06.777Z,2021-09-18T17:49:34.050Z,15
10145,"like, school, london, finally, returns, office, meetings",2021-09-20T05:46:34.927Z,2021-09-20T05:46:34.927Z,1
10115,"open, letter, concerned, direction, irr, taking",2021-09-20T03:10:11.807Z,2021-09-20T03:10:11.807Z,1
10236,"justice, dept, ransomware, maintenance, payments, food, mom, anxiously",2021-09-20T15:07:06.427Z,2021-09-23T03:20:06.170Z,5
9531,"family, covid, industry, sons, sea, gangs, london, hailed",2021-09-13T04:26:31.543Z,2021-09-18T22:42:07.580Z,30
9546,"fuelefficient, diesel, vehicles, buy, sa, suzuki, anymore, rare",2021-09-13T04:30:04.377Z,2021-09-19T07:39:43.213Z,5
9993,"veteran, court, journalist, ilse, de, lange, dies, long",2021-09-17T09:08:53.257Z,2021-09-17T09:08:53.257Z,1
7855,"nat, geo, marks, 911, 20th, anniversary, multiple, documentaries",2021-08-15T07:10:55.033Z,2021-08-15T07:10:55.033Z,1
10254,"texas, doctor, abortion, new, performs, test, restrictive, law",2021-09-20T18:56:15.500Z,2021-09-26T08:51:22.320Z,4
7021,"koo, canned, recalled, beans, cans, hugo, products, sweetcorn",2021-07-26T08:03:35.337Z,2021-07-27T13:36:58.840Z,7
9565,"community, hall, pietermaritzburg, city, youth, centre, hill, week",2021-09-13T06:38:56.523Z,2021-09-18T22:37:48.363Z,34
9880,"wage deal, municipal, wage increase, salga, agrees, months, negotiations, deadlock",2021-09-16T04:15:54.347Z,2021-09-18T05:26:11.280Z,4
10083,"pro, cyclist, chris, anker, dies, belgian, crash",2021-09-19T05:37:41.080Z,2021-09-19T05:37:41.080Z,1
