cluster_id,top_keywords,earliest_date,latest_date,article_count
10755,"court, architect, nkandla, case, jacob zuma, zondo, ramaphosa, trial",2021-09-27,2021-10-02,16
9477,"mamokgethi phakeng, lgbtqi community, uct, vicechancellor, apologises, lgbtqi, community, online",2021-09-11,2021-09-11,1
8722,"bruise, haffejee, neck, points, homicide, suicide, forensic, pathologist",2021-09-02,2021-09-04,3
9237,"fire, north west, hotel, mmabatho, palms, goes, hospital, watch",2021-09-08,2021-09-09,5
10268,"prince charles, scandal, seedy, deals, embroiling, foundation",2021-09-21,2021-09-21,2
10271,"amnesty, pietermaritzburg, business, organisation, slams, city, offer, beleaguered",2021-09-21,2021-09-24,5
8484,"page, 10year, plan, city, new, priority, cape town, litter",2021-08-31,2021-08-31,5
9508,"coffin, found, golf, course, pond, contains, man, buried",2021-09-12,2021-09-12,1
10022,"video, shows, nyc, restaurant, diners, attacking, hostess, asked",2021-09-17,2021-09-17,1
10282,"evergrande, rates, sa reserve bank, inflation, unchanged, fed, rand, probably",2021-09-21,2021-09-24,12
9517,"level 2, liquor, stores, open, fridays, better, extra, hour",2021-09-12,2021-09-12,2
10799,"prince william, new, kate, kate middleton, emma raducanu, game, set, match",2021-09-27,2021-10-01,6
562,"eskom, power, sa, new, energy, powerships, load shedding, karpowership",2021-03-05,2021-08-29,144
8500,"letters, mufc, msunduzi, aboutturn, councillors, decision, lack, accountability",2021-08-31,2021-09-03,8
10810,"south sudan, oil, sudan, south africa, billion, push, south, explainer",2021-09-27,2021-09-30,3
11073,"ford ranger fx4, watch, guy, understand, sa, love",2021-09-30,2021-09-30,1
10050,"flying, poop, netflix, ex, education, actually, mix, chocolate",2021-09-18,2021-09-18,1
9541,"wallabies, springboks, boks, bok, coach, blacks, nienaber, pollard",2021-09-13,2021-09-19,38
10821,"r kelly, sex, found, guilty, crimes, sex trafficking, racketeering, trafficking",2021-09-27,2021-09-28,3
10054,"look, couple, converted, bendy, bus, family, home, toddler",2021-09-18,2021-09-18,1
10823,"dutch, pm, targeted, kidnapping, drug, gangs, according",2021-09-27,2021-09-27,1
329,"fraud, court, arrested, case, alleged, hawks, corruption, bail",2021-03-03,2021-08-27,207
8526,"pics, black, mamba, rescued, thatched, roof, kzn, game",2021-08-31,2021-09-04,2
9551,"kzn, routes, taxi, killed, horror, crash, concern, people",2021-09-13,2021-09-17,6
9821,"trump, china, book, dubious, sanity, us, general, secretly",2021-09-15,2021-09-18,3
9570,"arc, de, triomphe, paris, art, installation, wrapping, begins",2021-09-13,2021-09-15,2
9830,"kruger national park, small businesses, tourism industry, procure, boost, tourism, industry, sanparks",2021-09-15,2021-09-17,2
8808,"mapiti matsena, man, sentenced, years, jail, stabbing, gauteng, anc",2021-09-03,2021-09-03,1
9579,"climate change, africa, new, report, un, cyril ramaphosa, south africa, brics",2021-09-13,2021-09-17,10
10609,"sa money report, red list, podcast, measuring, effects, uk, baffling, decision",2021-09-24,2021-09-24,1
9842,"virus, bats, ebola, people, infected, year, coronaviruses, carried",2021-09-15,2021-09-19,4
9589,"level 2, lockdown, sa, smaller, shows, covid19, curfew, starts",2021-09-13,2021-09-17,10
8573,"china, apple, scan, facebook, plans, stop, showing, political",2021-08-31,2021-09-04,7
9343,"master kg, details, horrific, flight, engine, exploded, minute, thought",2021-09-09,2021-09-09,1
10113,"opinion, siya, khumalo, insurance, plan, countries, fail, protect",2021-09-20,2021-09-21,7
6274,"claims, insurers, insurance, sasria, covid19, riot, expected, unrestsa",2021-07-06,2021-08-28,30
10123,"zuma, medical, downer, records, court, legal, law, constitutional",2021-09-20,2021-09-25,20
10380,"daily lotto, powerball, plus, lotto, results, jackpot, winning, numbers",2021-09-21,2021-09-27,9
9613,"alleged, arrested, case, bail, application, court, kzn, seizes",2021-09-13,2021-09-18,13
10639,"elections 2021, watch, launches, manifesto, ahead, da, live, eff",2021-09-25,2021-09-26,2
9621,"life esidimeni, moving, patients, ddg, dept, foreseen, deaths, grilled",2021-09-13,2021-09-15,3
9110,"fbi, france, attacks, accuses, somalia, pm, president, newly",2021-09-07,2021-09-12,12
10653,"councillors, failed, people",2021-09-25,2021-09-25,1
10917,"sexual abuse, negligence, staff, blame, drc, report, finds, heartbroken",2021-09-28,2021-09-28,2
10409,"criminal, financial, intelligence, centre, recovers, billion, deals, proceeds",2021-09-22,2021-09-22,2
8875,"tokyo paralympics, cops, working, sent, home, got, drunk, visited",2021-09-04,2021-09-04,1
9649,"child maintenance, justice department, child, maintenance, government, taking, away, dignity",2021-09-13,2021-09-17,3
10678,"covid19, researchers, pill, virus, new, masks, way, vaccines",2021-09-27,2021-10-02,17
9402,"south africans, farm, us, hired, white, sued, black, locals",2021-09-10,2021-09-10,1
9916,"judge, mnguni, buried, fears, zuma, loyalists, desecrate, grave",2021-09-16,2021-09-17,3
9405,"anc, russia, love, company, owned, putin, billionaire, oligarch",2021-09-10,2021-09-11,3
10175,"cape town, rangers, monitor, nests, chicks, swarm, bees, killed",2021-09-20,2021-09-20,1
10696,"covid19, new, western cape, third wave, wave, records, sa, infections",2021-09-27,2021-10-01,10
1745,"zondo commission, conflict, guptafunded, overseas, trips, exdenel, chair",2021-03-29,2021-03-29,1
10706,"court, sentenced, fraud, clerks, road accident fund, stealing, clients, years",2021-09-27,2021-10-01,13
8920,"covid19, vaccination, patients, study, sa, alcohol, opinion, vaccine",2021-09-06,2021-09-11,54
8924,"zuma, parole, medical, da, board, arthur fraser, questions, experts",2021-09-06,2021-09-11,34
9706,"iec, wants, bottles, hand, sanitiser, million, masks, covidfree",2021-09-14,2021-09-14,1
10480,"uct, senate, favour, policy, mandatory, vast, majority, vote",2021-09-22,2021-09-23,2
10482,"afrikaans, reinstated, medium, teaching, learning, unisa, afriforum, concourt",2021-09-22,2021-09-22,1
10486,"serial killer, uk, yorkshire, ripper, died, covid, inquest",2021-09-22,2021-09-22,1
10746,"free state, watch, modern, medicine, scars, smiles, man, gets",2021-09-27,2021-09-27,1
8955,"cyril ramaphosa, civil servants, civil, servants, sa, turning, covid19, pandemic",2021-09-06,2021-09-06,2
8957,"bitcoin, el salvador, crypto, plans, official, currency, rocky, twitter",2021-09-06,2021-09-10,7
8704,"section 25, state, custodianship, remains, amendment, bill, adopted, friday",2021-09-02,2021-09-03,2
10498,"public servants, dupe, sassa, r200m, grants, month",2021-09-23,2021-09-23,1
10754,"love, leave, sex, dear, white, people, like, relationship advice",2021-09-27,2021-10-03,50
10499,"toe, khehla sitole, pick, battles, mcbride, goes, cop",2021-09-23,2021-09-23,1
9225,"britney spears, father, files, end, conservatorship",2021-09-08,2021-09-08,1
8977,"curry, pudding, green, bean, salad, recipe, chicken, snoek",2021-09-06,2021-09-22,34
8728,"award, sa, cycling, tool",2021-09-02,2021-09-02,1
9500,"drone attack, armed, arbil, airport, iraq",2021-09-12,2021-09-12,1
9759,"watch, round, hots, malaysian, bar, makes, covid19, cocktails",2021-09-14,2021-09-14,1
9265,"free, capenature, reserves, heritage day, access, ahead, entry",2021-09-08,2021-09-09,2
10551,"boris johnson, criticised, rehiring, minister, repeatedly, broke, ministerial, code",2021-09-23,2021-09-23,1
10813,"cradock four, families, court, answers, killers, prosecuted",2021-09-27,2021-09-27,1
9280,"free, bafana, tickets, fans, soweto derby, music festival, david mabuza, want",2021-09-08,2021-09-11,6
10055,"masks, international, airlines, banning, cloth, flights, favour, medical",2021-09-18,2021-09-18,1
8531,"digital vibes, siu, mkhize, siu report, report, health, dg, parliament",2021-08-31,2021-09-03,8
9811,"bok, lock, snyman, progressing, eyes, munster, return",2021-09-15,2021-09-15,1
10324,"know, send, resignation, letter, employers, dismiss, workers, involved",2021-09-21,2021-09-22,2
9557,"fnb, ceo, personal, loan, life, connect, ranks, highest",2021-09-13,2021-09-17,5
9046,"weds, joy, meryl, streep, daughter, grace, dj, mark",2021-09-06,2021-09-10,4
10071,"max lichaba, sues, stepson",2021-09-18,2021-09-18,1
9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",2021-09-13,2021-09-18,35
10075,"art, presidential",2021-09-18,2021-09-18,1
10331,"ethekwini, da, shut up, council, meeting, heats, mayor, telling",2021-09-21,2021-09-25,4
10077,"editorial, fresh, step, greater, accountability",2021-09-18,2021-09-18,1
