e7segment,cluster_id,num_users,num_reads,total_duration,avg_reads,avg_duration
3. Normal User,8348,6519,23319,3848593,3.58,590.37
3. Normal User,8701,1752,2219,280777,1.27,160.26
3. Normal User,8465,1728,1998,493006,1.16,285.3
3. Normal User,8350,1715,2399,466864,1.4,272.22
3. Normal User,91,584,749,95184,1.28,162.99
3. Normal User,8694,610,660,89180,1.08,146.2
3. Normal User,8568,860,1080,155009,1.26,180.24
3. Normal User,8531,5781,14324,2535839,2.48,438.65
3. Normal User,8373,6891,16863,3555863,2.45,516.02
3. Normal User,8584,1113,1280,198781,1.15,178.6
3. Normal User,8423,1606,2030,302395,1.26,188.29
2. Low Score,8349,3864,6917,1206120,1.79,312.14
3. Normal User,8351,8325,50142,11924011,6.02,1432.31
3. Normal User,7888,1260,1618,226274,1.28,179.58
2. Low Score,8348,3615,7237,1353863,2.0,374.51
3. Normal User,8641,1067,1338,248218,1.25,232.63
3. Normal User,8359,6041,14123,2750236,2.34,455.26
3. Normal User,8349,6662,19733,3207045,2.96,481.39
1. Very Low Score,8260,471,647,98612,1.37,209.37
3. Normal User,8427,3831,6944,1028983,1.81,268.59
3. Normal User,8586,2830,4312,598170,1.52,211.37
3. Normal User,8397,1556,1909,298933,1.23,192.12
2. Low Score,8614,3157,3907,846214,1.24,268.04
2. Low Score,8404,953,1317,207745,1.38,217.99
3. Normal User,8751,892,1084,165057,1.22,185.04
3. Normal User,8565,3929,7590,1416540,1.93,360.53
3. Normal User,8589,2269,2787,542961,1.23,239.3
2. Low Score,24,3861,8572,1222110,2.22,316.53
3. Normal User,8741,806,874,100182,1.08,124.3
2. Low Score,8351,6042,16249,4108803,2.69,680.04
2. Low Score,8260,3743,7488,1432954,2.0,382.84
2. Low Score,8346,1113,1604,241431,1.44,216.92
2. Low Score,8589,1002,1163,224592,1.16,224.14
2. Low Score,8531,3093,4987,993139,1.61,321.09
3. Normal User,8800,2357,2981,613333,1.26,260.22
2. Low Score,8701,570,650,89902,1.14,157.72
3. Normal User,8665,745,937,168246,1.26,225.83
3. Normal User,8761,705,825,141451,1.17,200.64
3. Normal User,8382,2506,4122,521800,1.64,208.22
3. Normal User,8352,2941,7534,1271889,2.56,432.47
3. Normal User,8404,2553,4325,592274,1.69,231.99
3. Normal User,8591,555,611,117339,1.1,211.42
2. Low Score,8427,1687,2553,389586,1.51,230.93
2. Low Score,8380,1674,2390,433646,1.43,259.05
3. Normal User,8691,502,602,73753,1.2,146.92
3. Normal User,15,2358,3718,608158,1.58,257.91
3. Normal User,24,6034,24775,3837757,4.11,636.02
3. Normal User,8494,3594,5860,730051,1.63,203.13
2. Low Score,8586,1115,1362,242064,1.22,217.1
3. Normal User,8452,2935,4179,743652,1.42,253.37
1. Very Low Score,8373,627,875,230885,1.4,368.24
3. Normal User,8498,2848,5998,877692,2.11,308.18
3. Normal User,8480,2662,3108,391630,1.17,147.12
3. Normal User,8700,487,515,61678,1.06,126.65
3. Normal User,8760,811,964,125490,1.19,154.73
2. Low Score,8480,1019,1118,150169,1.1,147.37
3. Normal User,5876,882,1007,124538,1.14,141.2
3. Normal User,8696,757,801,109361,1.06,144.47
2. Low Score,8465,636,709,194757,1.11,306.22
3. Normal User,8356,3759,6572,783146,1.75,208.34
3. Normal User,8500,830,980,293592,1.18,353.73
3. Normal User,8781,1745,2767,448993,1.59,257.3
3. Normal User,8463,2465,4740,843636,1.92,342.25
2. Low Score,8377,2625,4553,672486,1.73,256.19
2. Low Score,8565,1616,2300,440806,1.42,272.78
2. Low Score,8498,1044,1638,220650,1.57,211.35
2. Low Score,8494,1387,1840,267662,1.33,192.98
3. Normal User,8369,2627,4456,560198,1.7,213.25
3. Normal User,58,2803,3908,483931,1.39,172.65
2. Low Score,8373,3994,6419,1509726,1.61,378.0
3. Normal User,8621,1294,1594,206955,1.23,159.93
3. Normal User,8555,810,965,192622,1.19,237.8
3. Normal User,8377,5440,14961,1873217,2.75,344.34
3. Normal User,8380,3845,7255,1218617,1.89,316.94
2. Low Score,8397,479,552,106618,1.15,222.58
3. Normal User,8475,670,820,104916,1.22,156.59
2. Low Score,8800,915,1064,230409,1.16,251.81
3. Normal User,8614,5893,8858,1617169,1.5,274.42
2. Low Score,8382,1140,1645,240645,1.44,211.09
3. Normal User,8789,1228,1460,161819,1.19,131.77
3. Normal User,8683,722,897,116612,1.24,161.51
3. Normal User,159,333,531,52229,1.59,156.84
2. Low Score,58,1048,1226,163674,1.17,156.18
1. Very Low Score,8349,654,908,175969,1.39,269.07
2. Low Score,8359,3408,5395,1197024,1.58,351.24
3. Normal User,8347,1703,2380,382559,1.4,224.64
3. Normal User,8260,6552,25753,5095196,3.93,777.66
1. Very Low Score,8348,618,947,170900,1.53,276.54
3. Normal User,8533,880,1210,134644,1.38,153.0
4. Good User,8351,101,1188,232303,11.76,2300.03
2. Low Score,8375,1717,2422,555413,1.41,323.48
3. Normal User,8638,526,631,82991,1.2,157.78
3. Normal User,8660,520,576,70737,1.11,136.03
2. Low Score,8463,861,1308,227909,1.52,264.7
3. Normal User,8387,2267,5507,860714,2.43,379.67
3. Normal User,8346,2737,4493,654167,1.64,239.01
2. Low Score,8356,1548,2247,332039,1.45,214.5
3. Normal User,8409,1261,1724,153385,1.37,121.64
3. Normal User,8564,611,725,96511,1.19,157.96
1. Very Low Score,8531,475,651,148093,1.37,311.77
3. Normal User,8379,561,651,82129,1.16,146.4
2. Low Score,8350,639,844,168523,1.32,263.73
1. Very Low Score,8377,355,530,86973,1.49,244.99
1. Very Low Score,8351,1088,1942,483641,1.78,444.52
3. Normal User,8704,2404,2978,506727,1.24,210.78
1. Very Low Score,8359,504,702,172253,1.39,341.77
3. Normal User,8431,488,595,90233,1.22,184.9
3. Normal User,8410,931,1564,295067,1.68,316.94
2. Low Score,8452,1204,1657,329855,1.38,273.97
4. Good User,8348,99,982,162497,9.92,1641.38
4. Good User,8349,96,585,102871,6.09,1071.57
3. Normal User,8430,1027,1349,242837,1.31,236.45
3. Normal User,8509,434,544,71745,1.25,165.31
4. Good User,24,105,4609,641630,43.9,6110.76
2. Low Score,8423,609,730,121379,1.2,199.31
3. Normal User,8479,786,930,94213,1.18,119.86
2. Low Score,8369,985,1431,181118,1.45,183.88
2. Low Score,8387,884,1551,248826,1.75,281.48
2. Low Score,8352,1100,2157,368900,1.96,335.36
3. Normal User,8579,582,839,84562,1.44,145.3
2. Low Score,8577,859,1032,183609,1.2,213.75
2. Low Score,8781,565,787,106724,1.39,188.89
3. Normal User,8549,1545,2073,330473,1.34,213.9
2. Low Score,91,417,532,86829,1.28,208.22
2. Low Score,8641,424,525,130248,1.24,307.19
3. Normal User,8393,1141,1402,163620,1.23,143.4
3. Normal User,196,351,642,105458,1.83,300.45
2. Low Score,15,949,1291,225714,1.36,237.84
2. Low Score,8704,897,1001,178574,1.12,199.08
2. Low Score,8347,703,941,178826,1.34,254.38
3. Normal User,8440,1663,1956,293864,1.18,176.71
3. Normal User,8613,2763,4123,683576,1.49,247.4
3. Normal User,8577,2557,3410,557302,1.33,217.95
3. Normal User,8632,850,1050,209430,1.24,246.39
3. Normal User,608,329,514,93197,1.56,283.27
3. Normal User,8388,1174,1512,149905,1.29,127.69
1. Very Low Score,24,905,1581,217706,1.75,240.56
3. Normal User,8644,1034,1206,160888,1.17,155.6
3. Normal User,8396,752,818,143498,1.09,190.82
3. Normal User,8375,4158,6770,1470552,1.63,353.67
2. Low Score,8613,1027,1258,234950,1.22,228.77
3. Normal User,8482,806,946,116114,1.17,144.06
3. Normal User,8491,451,500,78815,1.11,174.76
3. Normal User,8726,584,629,75581,1.08,129.42
4. Good User,8260,91,741,215120,8.14,2363.96
3. Normal User,10445,759,941,151954,1.24,200.2
3. Normal User,10604,526,557,134717,1.06,256.12
3. Normal User,10164,2480,3648,527100,1.47,212.54
3. Normal User,10112,7856,38191,6930434,4.86,882.18
3. Normal User,10281,1238,2083,389852,1.68,314.9
3. Normal User,10592,469,522,88480,1.11,188.66
3. Normal User,10117,4175,7291,1226653,1.75,293.81
3. Normal User,10197,6231,10905,2258805,1.75,362.51
3. Normal User,10559,1255,1666,225537,1.33,179.71
3. Normal User,10614,652,690,55861,1.06,85.68
2. Low Score,10197,3183,4151,816735,1.3,256.59
2. Low Score,10141,4496,8375,1900464,1.86,422.7
3. Normal User,10141,6905,20939,4517972,3.03,654.3
3. Normal User,10609,557,645,64633,1.16,116.04
4. Good User,10141,95,586,121710,6.17,1281.16
2. Low Score,10117,1576,2038,362211,1.29,229.83
3. Normal User,10282,1386,1754,361056,1.27,260.5
2. Low Score,10135,547,664,160525,1.21,293.46
3. Normal User,10473,1148,1365,268122,1.19,233.56
3. Normal User,10485,699,774,130439,1.11,186.61
3. Normal User,10109,1179,1502,328785,1.27,278.87
3. Normal User,10180,1251,1351,250429,1.08,200.18
3. Normal User,10108,2361,3713,494892,1.57,209.61
3. Normal User,10110,4285,9854,1671236,2.3,390.02
3. Normal User,8950,476,501,85449,1.05,179.51
3. Normal User,9603,7522,24112,4993855,3.21,663.9
3. Normal User,8920,5240,12355,2299703,2.36,438.87
1. Very Low Score,9574,419,509,106654,1.21,254.54
2. Low Score,10282,490,569,140970,1.16,287.69
2. Low Score,10112,4916,10664,2105671,2.17,428.33
3. Normal User,9434,1926,2384,381162,1.24,197.9
2. Low Score,10108,808,1031,141236,1.28,174.8
2. Low Score,10089,663,767,117284,1.16,176.9
3. Normal User,9564,5620,12560,2163938,2.23,385.04
3. Normal User,10167,471,531,71316,1.13,151.41
3. Normal User,10186,5759,13583,2205657,2.36,382.99
4. Good User,10112,99,1282,185396,12.95,1872.69
2. Low Score,6955,497,710,112755,1.43,226.87
2. Low Score,9564,2846,4350,848877,1.53,298.27
2. Low Score,10109,417,516,126607,1.24,303.61
2. Low Score,9533,935,1085,170930,1.16,182.81
2. Low Score,10164,776,967,163580,1.25,210.8
3. Normal User,10327,540,568,56669,1.05,104.94
3. Normal User,9552,3616,6453,885447,1.78,244.87
3. Normal User,10429,450,519,64191,1.15,142.65
3. Normal User,9598,2911,4628,487709,1.59,167.54
2. Low Score,10002,6246,14654,3019757,2.35,483.47
3. Normal User,10124,5674,9703,1551555,1.71,273.45
3. Normal User,10273,1409,1590,289650,1.13,205.57
3. Normal User,10002,8010,30554,5964893,3.81,744.68
2. Low Score,10123,5425,12448,3270236,2.29,602.81
2. Low Score,10128,2960,5086,723500,1.72,244.43
3. Normal User,10123,8024,39761,9625627,4.96,1199.6
3. Normal User,10516,691,864,151883,1.25,219.8
1. Very Low Score,10002,1413,2408,513023,1.7,363.07
3. Normal User,9916,650,734,144292,1.13,221.99
3. Normal User,10128,6040,17915,2194229,2.97,363.28
3. Normal User,10272,1498,1732,217436,1.16,145.15
3. Normal User,9634,3957,6310,1089461,1.59,275.32
2. Low Score,10188,1276,1598,315675,1.25,247.39
1. Very Low Score,10141,553,700,172451,1.27,311.85
3. Normal User,8924,8729,61157,12284244,7.01,1407.29
2. Low Score,10162,3970,5621,1150444,1.42,289.78
3. Normal User,10162,6186,12766,2297091,2.06,371.34
1. Very Low Score,10162,700,816,161817,1.17,231.17
3. Normal User,10521,3960,8969,1497181,2.26,378.08
3. Normal User,10567,2154,3781,516750,1.76,239.9
2. Low Score,10521,1412,2165,361754,1.53,256.2
3. Normal User,10116,5963,28885,5690564,4.84,954.31
2. Low Score,10567,606,819,116846,1.35,192.82
3. Normal User,10554,554,795,112224,1.44,202.57
2. Low Score,9542,885,1412,229323,1.6,259.12
3. Normal User,10133,5109,16133,2889182,3.16,565.51
2. Low Score,10143,926,1188,161673,1.28,174.59
2. Low Score,10116,3162,7756,1556425,2.45,492.23
3. Normal User,10143,2656,4313,535848,1.62,201.75
2. Low Score,9541,3008,8616,1669024,2.86,554.86
2. Low Score,10133,2373,4582,866587,1.93,365.19
3. Normal User,8926,2383,3359,431425,1.41,181.04
3. Normal User,9566,3451,7779,2216732,2.25,642.34
3. Normal User,10584,7558,20473,3689878,2.71,488.21
2. Low Score,10584,5132,9585,1850079,1.87,360.5
1. Very Low Score,10584,406,584,101135,1.44,249.1
3. Normal User,10375,736,908,138867,1.23,188.68
3. Normal User,10356,493,583,74717,1.18,151.56
3. Normal User,10189,499,570,81749,1.14,163.83
3. Normal User,10148,1439,1968,317139,1.37,220.39
3. Normal User,10140,5279,11741,2405214,2.22,455.62
2. Low Score,10124,2705,3422,617719,1.27,228.36
3. Normal User,10213,836,1084,122410,1.3,146.42
3. Normal User,10305,855,1102,129599,1.29,151.58
3. Normal User,9532,7856,36132,5238767,4.6,666.85
2. Low Score,10140,2718,4362,1030335,1.6,379.08
3. Normal User,10387,1108,1939,241308,1.75,217.79
3. Normal User,10456,963,1014,97741,1.05,101.5
3. Normal User,10107,1437,3508,563433,2.44,392.09
2. Low Score,10107,362,532,62394,1.47,172.36
3. Normal User,10249,1595,2792,383856,1.75,240.66
3. Normal User,10266,2254,2564,446309,1.14,198.01
2. Low Score,10249,408,552,82910,1.35,203.21
3. Normal User,10147,1408,1879,277933,1.33,197.4
3. Normal User,10284,952,1246,209013,1.31,219.55
3. Normal User,10146,833,1122,159456,1.35,191.42
2. Low Score,10186,3271,5058,849795,1.55,259.8
3. Normal User,10316,619,701,107296,1.13,173.34
3. Normal User,10380,487,897,91759,1.84,188.42
2. Low Score,10110,1860,2919,560931,1.57,301.58
2. Low Score,8920,2575,4050,769971,1.57,299.02
3. Normal User,10384,539,609,90685,1.13,168.25
3. Normal User,10238,4454,9453,1479074,2.12,332.08
3. Normal User,94,277,558,86706,2.01,313.02
3. Normal User,9534,8084,41589,6812659,5.14,842.73
2. Low Score,10238,1733,2500,485271,1.44,280.02
2. Low Score,8993,4832,10331,2241838,2.14,463.96
3. Normal User,9533,2262,2926,440077,1.29,194.55
3. Normal User,10224,786,961,130792,1.22,166.4
3. Normal User,10431,534,590,87870,1.1,164.55
3. Normal User,10608,513,548,76102,1.07,148.35
3. Normal User,10383,947,1062,100828,1.12,106.47
3. Normal User,10522,1680,2068,407369,1.23,242.48
3. Normal User,10555,1166,1308,176780,1.12,151.61
3. Normal User,10351,2797,3933,533849,1.41,190.86
3. Normal User,10181,1794,2232,371671,1.24,207.17
3. Normal User,10318,944,1101,171879,1.17,182.08
2. Low Score,10522,527,628,130563,1.19,247.75
2. Low Score,10242,2627,2831,253610,1.08,96.54
2. Low Score,10376,597,693,103562,1.16,173.47
3. Normal User,10242,5301,6145,511670,1.16,96.52
2. Low Score,10351,1029,1195,179045,1.16,174.0
3. Normal User,10379,4802,7099,1247906,1.48,259.87
2. Low Score,10558,741,816,112510,1.1,151.84
3. Normal User,9579,1096,1363,254264,1.24,231.99
3. Normal User,10144,1264,1417,231126,1.12,182.85
3. Normal User,80,590,686,83554,1.16,141.62
3. Normal User,9517,867,1078,120669,1.24,139.18
2. Low Score,9854,772,847,153573,1.1,198.93
3. Normal User,10602,4672,6310,1079950,1.35,231.15
2. Low Score,10602,2079,2461,378515,1.18,182.07
3. Normal User,10122,2610,4083,723778,1.56,277.31
2. Low Score,10122,772,915,180441,1.19,233.73
2. Low Score,9603,4354,7671,1851192,1.76,425.17
3. Normal User,10279,890,1054,227822,1.18,255.98
3. Normal User,10113,3775,6440,1267269,1.71,335.7
3. Normal User,10253,726,1104,178838,1.52,246.33
3. Normal User,10169,1656,2103,244792,1.27,147.82
2. Low Score,10267,755,1079,173921,1.43,230.36
2. Low Score,10169,568,650,79219,1.14,139.47
