e7segment,cluster_id,num_users,num_reads,total_duration,avg_reads,avg_duration
4. Good User,24,105,4609,641630,43.9,6110.76
4. Good User,8924,100,1321,214333,13.21,2143.33
4. Good User,10112,99,1282,185396,12.95,1872.69
4. Good User,9520,102,1250,246785,12.25,2419.46
2. Low Score,36,5,59,3069,11.8,613.8
4. Good User,8351,101,1188,232303,11.76,2300.03
4. Good User,9534,100,1165,174929,11.65,1749.29
4. Good User,9532,102,1125,139722,11.03,1369.82
4. Good User,8959,104,1134,168336,10.9,1618.62
4. Good User,8348,99,982,162497,9.92,1641.38
4. Good User,8963,99,974,106476,9.84,1075.52
2. Low Score,33,5,48,2158,9.6,431.6
4. Good User,8993,99,899,165655,9.08,1673.28
4. Good User,10685,95,823,130766,8.66,1376.48
2. Low Score,10120,5,41,8339,8.2,1667.8
4. Good User,8260,91,741,215120,8.14,2363.96
4. Good User,10123,102,805,164476,7.89,1612.51
4. Good User,10128,90,686,74791,7.62,831.01
2. Low Score,676,5,37,2038,7.4,407.6
4. Good User,8922,91,650,96554,7.14,1061.03
3. Normal User,8924,8729,61157,12284244,7.01,1407.29
4. Good User,10827,89,612,117592,6.88,1321.26
4. Good User,9541,79,511,87738,6.47,1110.61
2. Low Score,8929,5,32,3100,6.4,620.0
4. Good User,9616,92,585,86640,6.36,941.74
4. Good User,8938,74,466,75328,6.3,1017.95
4. Good User,10002,103,647,113321,6.28,1100.2
4. Good User,10692,92,575,65883,6.25,716.12
3. Normal User,8258,12,75,2367,6.25,197.25
4. Good User,10141,95,586,121710,6.17,1281.16
4. Good User,8349,96,585,102871,6.09,1071.57
2. Low Score,9329,65,392,22257,6.03,342.42
3. Normal User,8351,8325,50142,11924011,6.02,1432.31
4. Good User,94,9,53,4260,5.89,473.33
2. Low Score,23,14,82,7838,5.86,559.86
4. Good User,10116,82,479,85198,5.84,1039.0
4. Good User,9603,99,572,107670,5.78,1087.58
4. Good User,8920,96,537,98845,5.59,1029.64
3. Normal User,9541,5594,30846,5478801,5.51,979.41
4. Good User,10110,96,518,89384,5.4,931.08
2. Low Score,170,8,43,2214,5.38,276.75
4. Good User,8377,90,471,54951,5.23,610.57
2. Low Score,5440,10,52,1533,5.2,153.3
3. Normal User,9534,8084,41589,6812659,5.14,842.73
4. Good User,10715,68,344,63166,5.06,928.91
3. Normal User,10123,8024,39761,9625627,4.96,1199.6
