e7segment,firebaseid
2. Low Score,pXQ7AIQ7IzQIlPC6fJOVPbsa6ij2
2. Low Score,vLDIJht8vWQjCz0T6kE4Ngihcvq1
2. Low Score,QO3jSF0OKYbo9aghHyYGY5mIX3h2
2. Low Score,uKWVqBXEwuMrf9lj9Sq9lczw5Ii1
1. Very Low Score,2c4nycOpxEc2gVw4REPiThFaHQh2
1. Very Low Score,Mb4bCCG90FNrLvwg2KhWS3RNzj03
1. Very Low Score,pIBErfy4vcgwMffW6Z1Ux3tUOsy1
2. Low Score,9OrJVZvfCZVrYI26mzJRxpJt7ar2
1. Very Low Score,PNOJspQTa4ZRQ3A0BOoJiob2E4C3
1. Very Low Score,mkTEwkUUoQNZGO7iSZlfPnKgsXF2
1. Very Low Score,XQBAoDKFyqbbnLFOskuZPKocPzp1
1. Very Low Score,GKv51b4e0UgLqWo6zHjqEtC4cWD3
2. Low Score,GPB9oEAS1eMoOKXyHnbHt3NdTyB3
3. Normal User,Bk48owRPI7fWGHmQIf630D70btA3
1. Very Low Score,mrqguzIOjBflqn56zj0hWotEoIc2
1. Very Low Score,A42mnMGqpRNizXddGA2CtVDhAWJ3
1. Very Low Score,koUDuMjBrtVXdq5jXGPbPXyB2tI3
2. Low Score,01qgHfBnraYOIkwUp9RTGT4PveB3
2. Low Score,OUwMY3LABZMIKZLRJJAudNM1tBj2
2. Low Score,BXCOthGR87UMVivJ0TFf5OCr2ib2
1. Very Low Score,Oqd29sizyfcUIeWEMvSk3c9fdf22
2. Low Score,9PeX1SI0gCZd3ASIlQhjDE26tVH3
2. Low Score,ScYp5Pevx4OzY3aUA3ROPCnhIEq2
2. Low Score,sWeN5zzOQ7YpvlgdxmsmdvpLKYN2
2. Low Score,zD3BOIs42ZT3r60IqtfgpXBE1k53
2. Low Score,iGeN5g8diaVQhOjiMXIgv1OVipE2
2. Low Score,BCDCjQo61Vgk7kQ77QdjPVFIFgu1
4. Good User,d4jGGE6C8JYrRJLeeYepwIyrQO03
3. Normal User,UYsf1LZLiAUirFDkjAaCTt6UwhB3
1. Very Low Score,S1RoPr7GDEYBYk1Ub2r02rqcXQy2
2. Low Score,nwsYyj02GFdunPFcWZJ6vLCzMsC3
2. Low Score,bnVPY5MiT9albs4tbdnTLL9BM2D2
3. Normal User,BURoPyv4imPLYUZgXsPs92QTNon1
1. Very Low Score,SORuQEUtS8MWCpTiCKuQZjrBUoO2
1. Very Low Score,ueKrbbNKMEd9gHhkAmVYK7XrCJH3
1. Very Low Score,orWYQyu6SeVj3meYz9DmZT9yzoZ2
1. Very Low Score,pZMWWNTNldfAEaoKMtKShwFtygA2
1. Very Low Score,OJnWLA1MWCNSQ58ESaWmVhhpujs1
1. Very Low Score,TaottuCN6ZeJ2tGWhb6OPgzAHDT2
2. Low Score,RKtLCB0eT9TQbvjDtKfntb1Ws8W2
3. Normal User,cgi14Flu5qdvaoVogXbiOWNqBh82
3. Normal User,MCboila5PxXOS303I0IIQHeVb3p2
2. Low Score,bJpNBQ2CYGNxQM3qc3OsRv0MPtc2
3. Normal User,dfelJhLyACaZOihUT8v9235l4qu1
2. Low Score,fWxHEsH8T0b1FkNCLWHG3o8SYrX2
3. Normal User,52hnm52QazSXlWXjmymC0jjJfpL2
1. Very Low Score,MivjyFPFeKVkg9nRRt5PozIIFau2
2. Low Score,E2JdD1wutNdrp6D51Z48D4Jhx6v2
1. Very Low Score,30RHuWjJMWeoC8iJJBXrOhXd4rS2
1. Very Low Score,Ny3saYzXgidvuHJyq03DDWAnHf13
1. Very Low Score,J8edJO7gKrXgwam0CtdOXmwmMrH2
1. Very Low Score,Ay3T4Vb3XuVbTQPaqh38k3Meuq32
2. Low Score,l5Cvi5ofQXS7Ay845zeYZ0ywMnS2
2. Low Score,OuZvRSgJAfMXk3qd7H1Jq72zoYx2
3. Normal User,34JUOmRxXWfvoVDp9PX5X6y7EnJ2
3. Normal User,Vr1zvYX7mFSjdquH6QXBFl2X5yi2
2. Low Score,9wUFzdfV6gOOgztKZsmFnmjIp7u2
3. Normal User,ikg7mIFPV7M3oyUT24LK5OWJ5I53
2. Low Score,5Wk5YkBbzcXQcuQljO9lqeO6z1K2
1. Very Low Score,U4h5YnY2XYWQ0wBkXQsuaUnVWBo1
1. Very Low Score,OmHKcvdfqCgOR1OdkwleqBFhBLC2
1. Very Low Score,t8HMgpHWh2XJFlEEdO1VMvGQ2553
1. Very Low Score,P2Ir24fyZXW8MzNzKweV2vK1og43
1. Very Low Score,ECLCHWyiVShOGC8gjpAVQsZx0XJ3
3. Normal User,GRSaS5JSRTPrlcOEWZDN4ngP3cC2
1. Very Low Score,P3lzL3fWdlZeJjKxzMkFSbBSnu73
1. Very Low Score,TRofub1gzAdUWyrs5uTRzXdODml1
2. Low Score,F3cU3p5x5teF0nwfl3nZbAeTqNt1
3. Normal User,HBPHGS89TSdJm10Sye7cPm0G14s2
2. Low Score,jGUH073W7VbDwkvNqlB4h1eOMWx2
1. Very Low Score,jzpsgGXjVefTaPu1uuZwsLsGg7n1
1. Very Low Score,MwGW28EaxrZkqHKDjG1qIE1wjBB3
2. Low Score,DcHgjaqTTfNsuAMt0xwt0Lk7R7s1
1. Very Low Score,0Y2zkTUbDXZYziXaUDMS0yBnndk1
1. Very Low Score,LKTeIIxdSQd9fy9WSQPIbRcHNkB2
1. Very Low Score,5vWKt95vvPYz9K6zTwQ8fsrQiAW2
2. Low Score,64vk4UTndqNmVVkDX2hquiNkPdf1
1. Very Low Score,gROtHYLH03Pc2BgOkG2Nv2NDLv62
1. Very Low Score,gVCtXpRPNKczidIQbAC2BNmps5H3
2. Low Score,OrO4tGWCgLaE4HWtkF5sVCGgzb23
4. Good User,fcbtRoWjArOwpZZNkaWgQo0Gc412
4. Good User,W9hMktrooCZZHR20AJ9HMzajWwH3
3. Normal User,KZb3onOPdTOZ8OH3LmzTNxoTREn1
1. Very Low Score,cCig7YekovTIHZ1b0vDt8IIP3AY2
2. Low Score,WmQhju17iAgyAREuBhsDOcNpaFG3
1. Very Low Score,qJXzfJsAB8b4gGrqZgMiQhkGZ5M2
1. Very Low Score,qLI2As2g15cAoihTyUqN7GRoZ6s1
3. Normal User,2qCVg76fJGZL1SiuouroSrO3GY93
1. Very Low Score,eyDhW7vwxpNL11BFMjfkYdtSeIN2
1. Very Low Score,AlQphaUvKcTUL9jjViWg8gN30rn1
1. Very Low Score,ELgWSndyrcaWmO8yQNC4Kp8PYmK2
2. Low Score,HilZBEnLRSg1bdbaNBDtQSfdJpI2
2. Low Score,XmHwNgn191NdFFGZz1hGMPVyAQf2
1. Very Low Score,tWdMZ7ZBqHMuDuKx8ZBmN6KVk933
3. Normal User,mBl010hffsRMiI8ExuqgTWuo89z2
4. Good User,Vt4i5G296kWpRUIfkErKwODO2Fq1
2. Low Score,oYAdW5Bpv8gtD8wUGN8Ve1hUfJf2
1. Very Low Score,E4fDJWUI7QRkqJLF2llbtk3txoo2
2. Low Score,e1YbFshyrgVsQUMaXh7YjA83L153
2. Low Score,RgkXvZ0IiqR7XI7s712x6Y9OzIu2
1. Very Low Score,HDNlBIepuvNdsk8gbrSLWH2wVxH2
2. Low Score,5zfnqNQ0FmUDs0h8G2EuL94Rnvn1
1. Very Low Score,i8VEMVbcQ7RYueup3z5oYLQBwyw2
1. Very Low Score,nSunOZmCeLXbgtbOMRmNLsXueOC2
2. Low Score,MCkZDyuiqZdIMTyLYCmdgVpJUR83
1. Very Low Score,TFYbA3mRdLMWCufH6NhVE816kIJ3
3. Normal User,RUZ4iENQwrNqxBi3rNYaknMvnnH2
2. Low Score,VPEcAZf5EDSFGzdoZe2X20E5Bia2
3. Normal User,xUWkFspK90PhLnq3hWyiDlVhFhi1
1. Very Low Score,fR67LsCKjINYNtEKmK0Hv8yGtBp2
2. Low Score,xoQfuSCtfVex7XCiqCGMLOuQheR2
1. Very Low Score,a2kM8RrT6IUQLDOhPsnlxSWVSbP2
2. Low Score,xENvYp2ufpQoQvC7rornxl8MrE63
1. Very Low Score,IenS3pU0bqXHQEK27DyJYNVUoyW2
3. Normal User,pDte4RxcXqPp8dtUd4x7XdzEcGq1
1. Very Low Score,PZHlC1aWsBVUJzaisK9q9U6KFco1
1. Very Low Score,2yaCFzv3JYarSGOSr20lycK5GIw2
1. Very Low Score,2KuRIouzsdf8TY0HSSF322h3yDZ2
2. Low Score,R3FUqeeQiLMw5DnWIMMu844VvL13
1. Very Low Score,qORkwpLffiNII51YoRcX6yo9nqD3
2. Low Score,TyHwcfaDW9gsKO3jHOsflXMjMrb2
1. Very Low Score,sqXOb3ebspcbo6qe0H7JxAAnAeB3
1. Very Low Score,1vDpfI49PSeUpElzKoXdTuS0igY2
1. Very Low Score,BzdaXDnBddOxG0K1DZnPX6PmRXG3
1. Very Low Score,n0pTBDXOpvNHi25kb05Y50v42Nu2
1. Very Low Score,u8lGWnoE1CYKzXCF7jF5WeHUQP42
1. Very Low Score,WcwbajrYg1USlTs8Hqo69feOHYb2
1. Very Low Score,HM4Udegf5Ldfdw5ytH9pc72VYwg2
1. Very Low Score,Gp0yol8NxtTkdS2jNnXkYjCytJr1
1. Very Low Score,Nf50WiekTKhRxZqunJvtRhEbnK53
1. Very Low Score,0EYK7RUtPpchK5TdgZ1hzyZo6Lf2
1. Very Low Score,1EVp3zpLRWV5KHcESPMsE06CRBp1
1. Very Low Score,3UlhVKWniZR6P1uvErhD52N5sep1
1. Very Low Score,TZlutt5Lr9VshBj0ojX0j2hfV0B3
2. Low Score,ZvZOFO7JY2TwLC3sx4KfKdwUWC32
1. Very Low Score,Ypo05Te2nxaGwjBxH7wvEmd0p1F3
1. Very Low Score,nhBpBPBF6VdmcnQ2tXeCYChOXOq1
2. Low Score,oJaVPopXBrVqyVdVoiY70Xnv0ox1
2. Low Score,QOttrODGiOYCEYXwPx40LkSHeer1
2. Low Score,gSONfmF33PWaa56XbEV3CPtp6kn2
