week_ending,article_cluster,top_keywords,earliest_published,latest_published,article_count
2021-10-02,0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437
2021-10-23,0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437
2021-10-16,0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437
2021-10-30,0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437
2021-10-09,0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437
2021-10-16,2,"covid19, vaccine, us, delta variant, vaccines, variant, new, covid",2021-07-01,2021-11-17,303
2021-10-02,2,"covid19, vaccine, us, delta variant, vaccines, variant, new, covid",2021-07-01,2021-11-17,303
2021-10-30,2,"covid19, vaccine, us, delta variant, vaccines, variant, new, covid",2021-07-01,2021-11-17,303
2021-10-09,2,"covid19, vaccine, us, delta variant, vaccines, variant, new, covid",2021-07-01,2021-11-17,303
2021-10-23,2,"covid19, vaccine, us, delta variant, vaccines, variant, new, covid",2021-07-01,2021-11-17,303
2021-10-09,3,"questions, answers, burning, dr, louise, love, week, horoscopes",2021-07-01,2021-11-17,285
2021-10-02,3,"questions, answers, burning, dr, louise, love, week, horoscopes",2021-07-01,2021-11-17,285
2021-10-23,3,"questions, answers, burning, dr, louise, love, week, horoscopes",2021-07-01,2021-11-17,285
2021-10-30,3,"questions, answers, burning, dr, louise, love, week, horoscopes",2021-07-01,2021-11-17,285
2021-10-16,3,"questions, answers, burning, dr, louise, love, week, horoscopes",2021-07-01,2021-11-17,285
2021-10-16,4,"new, sa, review, suv, hyundai, buy, driven, 2021",2021-07-01,2021-11-17,134
2021-10-23,4,"new, sa, review, suv, hyundai, buy, driven, 2021",2021-07-01,2021-11-17,134
2021-10-02,4,"new, sa, review, suv, hyundai, buy, driven, 2021",2021-07-01,2021-11-17,134
2021-10-09,4,"new, sa, review, suv, hyundai, buy, driven, 2021",2021-07-01,2021-11-17,134
2021-10-30,4,"new, sa, review, suv, hyundai, buy, driven, 2021",2021-07-01,2021-11-17,134
2021-10-02,8,"covid19, vaccine, vaccination, jab, vaccinated, health, western cape, gauteng",2021-07-01,2021-11-17,474
2021-10-09,8,"covid19, vaccine, vaccination, jab, vaccinated, health, western cape, gauteng",2021-07-01,2021-11-17,474
2021-10-16,8,"covid19, vaccine, vaccination, jab, vaccinated, health, western cape, gauteng",2021-07-01,2021-11-17,474
2021-10-23,8,"covid19, vaccine, vaccination, jab, vaccinated, health, western cape, gauteng",2021-07-01,2021-11-17,474
2021-10-30,8,"covid19, vaccine, vaccination, jab, vaccinated, health, western cape, gauteng",2021-07-01,2021-11-17,474
2021-10-16,17,"students, online, school, schools, opinion, new, education, children",2021-07-01,2021-11-17,187
2021-10-02,17,"students, online, school, schools, opinion, new, education, children",2021-07-01,2021-11-17,187
2021-10-23,17,"students, online, school, schools, opinion, new, education, children",2021-07-01,2021-11-17,187
