week_ending,firebaseid,e7segment,total_read,site_name,article_cluster,top_keywords,earliest_published,latest_published,article_count,articles_read,cluster_perc_ratio,users_in_cluster
2021-10-16,fXFL0RgZGYgOPsHgAI0EkjwJZt23,2. Low Score,13,News24,0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437,3,5.54,1607
2021-10-16,hNwRzqWitDQOVtcsZqWIxw7caBC2,2. Low Score,22,Arts,0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437,2,2.18,1607
2021-10-16,ftyk4UoEeCVKbdAGSq8aBrAWHnL2,2. Low Score,11,"Health24, Parent",0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437,2,4.36,1607
2021-10-16,bHzjFtQPWJOPeEJ4XO7GHs0CURE3,2. Low Score,104,News24,0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437,11,2.54,1607
2021-10-16,MCSEj8Rpb0Qq3wRW9US77RQwOHm2,2. Low Score,10,"Parent, News24",0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437,3,7.2,1607
2021-10-16,XEcnbxVEbpQmvylo6fttMD95udO2,2. Low Score,34,"Arts, News24, Parent",0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437,3,2.12,1607
2021-10-16,KhqSGmbJ37RoBxtpOkt6FgXZmBb2,2. Low Score,26,"Parent, News24",0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437,2,1.85,1607
2021-10-16,M2Uw3pwumreIViL3D4M9VJwMCEy1,2. Low Score,11,Parent,0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437,2,4.36,1607
2021-10-16,PRWQGXYMk3aGJ09Sb69mCDo5XnH2,2. Low Score,9,News24,0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437,2,5.33,1607
2021-10-16,TS8LMsIV6UWwwhJBd3WssEQ8Wqt2,2. Low Score,31,Parent,0,"child, help, children, covid19, kids, know, parents, life",2021-07-01,2021-11-17,437,2,1.55,1607
