week_ending,firebaseid,e7segment
2021-10-02,GqF1ALkpQDY7N3ueCT1391EfYYJ2,1. Very Low Score
2021-10-02,YVz8zNJD3eeY3KS5e9tCSuYkcGS2,1. Very Low Score
2021-10-02,5V46vOiv6qblL5qSemiLOPWY0zf2,1. Very Low Score
2021-10-02,VhWyfHTHd8dtiFk4Ntr68ON6Myx2,1. Very Low Score
2021-10-02,4itw8MtwzTh5l1pyyKNesIjSQLd2,1. Very Low Score
2021-10-02,OSPD3w7yxNfnNOdT6fy3royhjEh2,1. Very Low Score
2021-10-02,VPQ89K9Y84QhU7JayubBqjOL9HZ2,1. Very Low Score
2021-10-02,H3o6qI1cFVWAaj5mScZhdRML5Vn2,1. Very Low Score
2021-10-02,0MeHpCgAT5TX6T6e3aw96Sywq7l1,1. Very Low Score
2021-10-02,qNstfMHhLuOjQl64N6HiYWoBLF82,1. Very Low Score
2021-10-02,q8wRqNMbFShszDYhmbJ9eMvc1y53,1. Very Low Score
2021-10-02,KQtDk4PqNzYZtEFbfvFdbkDxIAk2,1. Very Low Score
2021-10-02,czIAK8LBK4XdPWjCafJNGtQLyhA3,1. Very Low Score
2021-10-02,akrpdhwRfbZTqhul9qDMKS9Ckkl2,1. Very Low Score
2021-10-09,DC7zOET54Fc3e6T2mpwh8S8eLZx1,1. Very Low Score
2021-10-09,k5jH7Ql2bDQzZhOlFdwbOrz0U4n1,1. Very Low Score
2021-10-09,Md3eNLJbrIdFYbiRR7XcuHc12FW2,1. Very Low Score
2021-10-09,iZG6wOS6weXUE7qESRzxAgFvjoI3,1. Very Low Score
2021-10-09,Vt4rUdiz9Zg0OIpn6kts2Bhme5v2,1. Very Low Score
2021-10-09,kOtmfhKJbMQZ9eICcLUDZpz2uwV2,1. Very Low Score
2021-10-09,Knqj2xi2wOTMfYrV4v77kGld6662,1. Very Low Score
2021-10-09,1s2GGBlHi8RlwkpD1K1DX2tSIDf2,1. Very Low Score
2021-10-09,RIxuXBNRxHWQ7Jss2QIIjgCWcbP2,1. Very Low Score
2021-10-09,xqDRdywAW8VLSV7VqAbBogirbDr1,1. Very Low Score
2021-10-16,JWQPLJ3wokfMLDgLdxLZiLhnajr2,1. Very Low Score
2021-10-16,NnpJ8dmIcrRjZ18sJvOHh6bQe863,1. Very Low Score
2021-10-16,EjotRNtIU3NfGbC0TbXB5XRnQJe2,1. Very Low Score
2021-10-16,d6NCCNeJ5NMMDrE2v02covKikvv2,1. Very Low Score
2021-10-16,ytUIY2LemCVdECoNZ4T1YflSrwE3,1. Very Low Score
2021-10-16,Yrk7OTKYPjMUYNWBnzWaWJrA8BP2,1. Very Low Score
2021-10-16,rK5lIsI9BoXQBmnBue2lhMYcnKx2,1. Very Low Score
2021-10-16,q0y1ZDN9oESs6c6zC9Pu0FvEkr62,1. Very Low Score
