e7segment,firebaseid,article_cluster,top_keywords,article_count,articles_read,page_duration
2. Low Score,pXQ7AIQ7IzQIlPC6fJOVPbsa6ij2,9223,"jeep, wrangler",1,1,38
2. Low Score,vLDIJht8vWQjCz0T6kE4Ngihcvq1,11400,"bike, bag, bosses",1,1,900
2. Low Score,QO3jSF0OKYbo9aghHyYGY5mIX3h2,10081,"kaizer, jr, gets, hitched",1,1,35
2. Low Score,uKWVqBXEwuMrf9lj9Sq9lczw5Ii1,10071,"max lichaba, sues, stepson",1,1,2
1. Very Low Score,2c4nycOpxEc2gVw4REPiThFaHQh2,10905,"nedbank, chair, naidoo, died",1,1,87
1. Very Low Score,Mb4bCCG90FNrLvwg2KhWS3RNzj03,10905,"nedbank, chair, naidoo, died",1,1,0
1. Very Low Score,pIBErfy4vcgwMffW6Z1Ux3tUOsy1,11215,"sars, goes, euphonik, million",1,1,2
2. Low Score,9OrJVZvfCZVrYI26mzJRxpJt7ar2,11215,"sars, goes, euphonik, million",1,1,900
1. Very Low Score,PNOJspQTa4ZRQ3A0BOoJiob2E4C3,11215,"sars, goes, euphonik, million",1,1,900
1. Very Low Score,mkTEwkUUoQNZGO7iSZlfPnKgsXF2,10644,"car crash, govt, official, dies",1,1,97
1. Very Low Score,XQBAoDKFyqbbnLFOskuZPKocPzp1,10644,"car crash, govt, official, dies",1,1,10
1. Very Low Score,GKv51b4e0UgLqWo6zHjqEtC4cWD3,10067,"music, industry, problems, rising",1,1,195
2. Low Score,GPB9oEAS1eMoOKXyHnbHt3NdTyB3,11160,"wild boars, shakira, son, attacked",1,1,69
3. Normal User,Bk48owRPI7fWGHmQIf630D70btA3,10885,"formal, jobs, lost, second, quarter",1,1,2
1. Very Low Score,mrqguzIOjBflqn56zj0hWotEoIc2,11365,"pain, pumps, diesel, users, october",1,1,6
1. Very Low Score,A42mnMGqpRNizXddGA2CtVDhAWJ3,11365,"pain, pumps, diesel, users, october",1,1,0
1. Very Low Score,koUDuMjBrtVXdq5jXGPbPXyB2tI3,8892,"want, dead, activist, forced, hiding",1,11,141.27
2. Low Score,01qgHfBnraYOIkwUp9RTGT4PveB3,7018,"lebo, exwife, gets, share, lion, king",1,1,900
2. Low Score,OUwMY3LABZMIKZLRJJAudNM1tBj2,10327,"narcos, star, actor, raba, loves, mtb",1,1,4
2. Low Score,BXCOthGR87UMVivJ0TFf5OCr2ib2,10242,"mining, exec, shot, johannesburg, home",1,1,2
1. Very Low Score,Oqd29sizyfcUIeWEMvSk3c9fdf22,10242,"mining, exec, shot, johannesburg, home",1,1,105
2. Low Score,9PeX1SI0gCZd3ASIlQhjDE26tVH3,10242,"mining, exec, shot, johannesburg, home",1,1,900
2. Low Score,ScYp5Pevx4OzY3aUA3ROPCnhIEq2,10242,"mining, exec, shot, johannesburg, home",1,1,32
2. Low Score,sWeN5zzOQ7YpvlgdxmsmdvpLKYN2,10242,"mining, exec, shot, johannesburg, home",1,1,900
2. Low Score,zD3BOIs42ZT3r60IqtfgpXBE1k53,10668,"baby, giant, panda, picture, time, yall",1,1,0
2. Low Score,iGeN5g8diaVQhOjiMXIgv1OVipE2,10359,"bok, pivot, pollard, leave, montpellier",1,1,900
2. Low Score,BCDCjQo61Vgk7kQ77QdjPVFIFgu1,9297,"high school, dawn, new, era, strelitzia",1,1,900
4. Good User,d4jGGE6C8JYrRJLeeYepwIyrQO03,11646,"bmf, president, accused, misusing, funds",1,1,900
3. Normal User,UYsf1LZLiAUirFDkjAaCTt6UwhB3,11646,"bmf, president, accused, misusing, funds",1,1,90
1. Very Low Score,S1RoPr7GDEYBYk1Ub2r02rqcXQy2,11646,"bmf, president, accused, misusing, funds",1,1,33
2. Low Score,nwsYyj02GFdunPFcWZJ6vLCzMsC3,11646,"bmf, president, accused, misusing, funds",1,5,183
2. Low Score,bnVPY5MiT9albs4tbdnTLL9BM2D2,11646,"bmf, president, accused, misusing, funds",1,1,900
3. Normal User,BURoPyv4imPLYUZgXsPs92QTNon1,11646,"bmf, president, accused, misusing, funds",1,1,17
1. Very Low Score,SORuQEUtS8MWCpTiCKuQZjrBUoO2,9403,"actor, kathryn, prescott, icu, hit, truck",1,1,5
1. Very Low Score,ueKrbbNKMEd9gHhkAmVYK7XrCJH3,7745,"british royal family, watch, latest, videos",1,1,142
1. Very Low Score,orWYQyu6SeVj3meYz9DmZT9yzoZ2,9912,"burger king, sa, adds, vegan, menu, options",1,1,41
1. Very Low Score,pZMWWNTNldfAEaoKMtKShwFtygA2,10650,"traditional medicine, heritage, month, power",1,1,3
1. Very Low Score,OJnWLA1MWCNSQ58ESaWmVhhpujs1,11612,"lockdown claims, santam, ordered, pay, months",1,1,0
1. Very Low Score,TaottuCN6ZeJ2tGWhb6OPgzAHDT2,11612,"lockdown claims, santam, ordered, pay, months",1,1,0
2. Low Score,RKtLCB0eT9TQbvjDtKfntb1Ws8W2,11725,"undercut, entity, accuses, sab, dirty, tricks",1,1,900
3. Normal User,cgi14Flu5qdvaoVogXbiOWNqBh82,10537,"drum 70th, evolution, black, hairstyles, years",1,1,3
3. Normal User,MCboila5PxXOS303I0IIQHeVb3p2,70,"new, love, actress, music, tv, honey, sa, life",307,1,4
2. Low Score,bJpNBQ2CYGNxQM3qc3OsRv0MPtc2,9598,"new, star, famous, like, gets, fall, look, boo",17,1,900
3. Normal User,dfelJhLyACaZOihUT8v9235l4qu1,11606,"sa tourism, acting, ceo, resigns, months, helm",1,1,900
2. Low Score,fWxHEsH8T0b1FkNCLWHG3o8SYrX2,5272,"baby names, beautiful, xhosa, zulu, boys, girls",2,2,456
3. Normal User,52hnm52QazSXlWXjmymC0jjJfpL2,10649,"actor, loyiso, macdonald, wife, applies, divorce",1,1,494
1. Very Low Score,MivjyFPFeKVkg9nRRt5PozIIFau2,10649,"actor, loyiso, macdonald, wife, applies, divorce",1,1,141
2. Low Score,E2JdD1wutNdrp6D51Z48D4Jhx6v2,10649,"actor, loyiso, macdonald, wife, applies, divorce",1,1,106
1. Very Low Score,30RHuWjJMWeoC8iJJBXrOhXd4rS2,10649,"actor, loyiso, macdonald, wife, applies, divorce",1,1,134
1. Very Low Score,Ny3saYzXgidvuHJyq03DDWAnHf13,10649,"actor, loyiso, macdonald, wife, applies, divorce",1,1,9
1. Very Low Score,J8edJO7gKrXgwam0CtdOXmwmMrH2,10652,"choppies, mphoko, dispute, finally, heads, court",1,6,414.67
1. Very Low Score,Ay3T4Vb3XuVbTQPaqh38k3Meuq32,11238,"north west, car crash, mayor, killed, car, crash",1,1,100
2. Low Score,l5Cvi5ofQXS7Ay845zeYZ0ywMnS2,11238,"north west, car crash, mayor, killed, car, crash",1,1,57
2. Low Score,OuZvRSgJAfMXk3qd7H1Jq72zoYx2,11379,"wrap, concourt, candidates, shortlist, announced",1,1,2
3. Normal User,34JUOmRxXWfvoVDp9PX5X6y7EnJ2,11379,"wrap, concourt, candidates, shortlist, announced",1,2,650.5
3. Normal User,Vr1zvYX7mFSjdquH6QXBFl2X5yi2,11379,"wrap, concourt, candidates, shortlist, announced",1,1,900
2. Low Score,9wUFzdfV6gOOgztKZsmFnmjIp7u2,11379,"wrap, concourt, candidates, shortlist, announced",1,1,900
3. Normal User,ikg7mIFPV7M3oyUT24LK5OWJ5I53,11315,"bulls, urc, sharks, stormers, lions, sa, win, ref",25,1,158
2. Low Score,5Wk5YkBbzcXQcuQljO9lqeO6z1K2,1418,"new, sa, review, suv, kia, toyota, suzuki, market",142,1,7
1. Very Low Score,U4h5YnY2XYWQ0wBkXQsuaUnVWBo1,9933,"sharks, flyhalf, signs, loan, deal, israeli, club",1,1,0
1. Very Low Score,OmHKcvdfqCgOR1OdkwleqBFhBLC2,10697,"uk, crisis, fuel, pumps, dry, british, offer, 500",15,1,50
1. Very Low Score,t8HMgpHWh2XJFlEEdO1VMvGQ2553,11455,"coal, eskom, power, sa, mantashe, clean, war, pits",8,1,1
1. Very Low Score,P2Ir24fyZXW8MzNzKweV2vK1og43,11455,"coal, eskom, power, sa, mantashe, clean, war, pits",8,1,11
1. Very Low Score,ECLCHWyiVShOGC8gjpAVQsZx0XJ3,129,"new, woman, meet, love, im, life, shares, daughter",271,48,610.46
3. Normal User,GRSaS5JSRTPrlcOEWZDN4ngP3cC2,9991,"prince philip, court, rules, remain, sealed, years",1,1,118
1. Very Low Score,P3lzL3fWdlZeJjKxzMkFSbBSnu73,9488,"rugby championship, live, wallabies, v, springboks",1,2,0
1. Very Low Score,TRofub1gzAdUWyrs5uTRzXdODml1,10995,"mega, grenadier, suv, en, route, sa, ineos, support",1,1,1
2. Low Score,F3cU3p5x5teF0nwfl3nZbAeTqNt1,11085,"poultry industry, new, growth, transformation, path",1,2,505.5
3. Normal User,HBPHGS89TSdJm10Sye7cPm0G14s2,9564,"sa, boost, debt, eskom, time, key, record, africans",39,2,6.5
2. Low Score,jGUH073W7VbDwkvNqlB4h1eOMWx2,9564,"sa, boost, debt, eskom, time, key, record, africans",39,1,120
1. Very Low Score,jzpsgGXjVefTaPu1uuZwsLsGg7n1,9564,"sa, boost, debt, eskom, time, key, record, africans",39,1,683
1. Very Low Score,MwGW28EaxrZkqHKDjG1qIE1wjBB3,9564,"sa, boost, debt, eskom, time, key, record, africans",39,1,53
2. Low Score,DcHgjaqTTfNsuAMt0xwt0Lk7R7s1,9564,"sa, boost, debt, eskom, time, key, record, africans",39,1,312
1. Very Low Score,0Y2zkTUbDXZYziXaUDMS0yBnndk1,9564,"sa, boost, debt, eskom, time, key, record, africans",39,1,2
1. Very Low Score,LKTeIIxdSQd9fy9WSQPIbRcHNkB2,10708,"sa, nersa, eskom, govt, needs, china, plan, opinion",39,1,900
1. Very Low Score,5vWKt95vvPYz9K6zTwQ8fsrQiAW2,10708,"sa, nersa, eskom, govt, needs, china, plan, opinion",39,1,54
2. Low Score,64vk4UTndqNmVVkDX2hquiNkPdf1,10708,"sa, nersa, eskom, govt, needs, china, plan, opinion",39,6,319.33
1. Very Low Score,gROtHYLH03Pc2BgOkG2Nv2NDLv62,10708,"sa, nersa, eskom, govt, needs, china, plan, opinion",39,1,0
1. Very Low Score,gVCtXpRPNKczidIQbAC2BNmps5H3,10708,"sa, nersa, eskom, govt, needs, china, plan, opinion",39,1,30
